window,poly,Accuracy,Precision,Recall,F1,Accuracy Std,Precision Std,Recall Std,F1 Std
9,2,0.8827771786022435,0.881646775956886,0.8811027252889756,0.8808014164514525,0.01816932628389634,0.01762708770882561,0.01926679535524337,0.018425784101446598
25,1,0.8804648403796376,0.8801158366829618,0.8791022874583303,0.8788279894603941,0.01600718919258393,0.015410635195988525,0.01602254861820823,0.01583321156758438
19,1,0.8798101811906817,0.8785167674586262,0.8784937952426823,0.8779163527939444,0.014565575086573175,0.014837366749050873,0.015508124721010038,0.015175347323567777
9,1,0.8791576790336497,0.8777627743879529,0.8780017316737496,0.8772813188459384,0.01374841559253795,0.014862277143019959,0.015085000185171565,0.015173704969680254
19,2,0.8788287316652287,0.8777687396014182,0.8776045643810498,0.8770250121359886,0.013568864997153852,0.013753460582962508,0.014720351951174184,0.014251665731843407
51,2,0.8775140207075065,0.8765595487941182,0.8758932651562729,0.8755729689088089,0.01641789778975375,0.015555746535054812,0.016443814664625106,0.015914617670643564
101,2,0.8765304141501294,0.8754118798143882,0.8743977559872841,0.8742760129054992,0.01601680046059057,0.016056938610308942,0.016368231626368128,0.016288503676367944
25,2,0.8762003882657463,0.8751833436902039,0.8748064537089194,0.8743384817774299,0.01875249732552751,0.018442301714752203,0.019763457083881886,0.01926859042998922
151,2,0.8725905953408111,0.8716819479220609,0.8713147101967911,0.8706171769955073,0.01549871132863029,0.014627178479588627,0.016078323478818195,0.01542618377487083
51,1,0.8709480155306298,0.870288541800304,0.8689877793391101,0.8688754528849186,0.02007879805493962,0.019406487931034312,0.02080881977319417,0.020252454119320935
101,1,0.8706115185504745,0.8688540152301402,0.8689534707639434,0.8683995341432524,0.0139234985897651,0.013992158355288527,0.014832047882589437,0.014327327697604923
151,1,0.8594531924072475,0.8580563746449842,0.8577126633234915,0.8572556035867496,0.019723988993699152,0.01935570475998972,0.02033155090291478,0.020002373688383493
